areaCodeName,city,degreeName,detail_href,headCount,highMonthPay,jobId,jobName,keyUnits,location,lowMonthPay,publishDate,recId,recName,recProperty,recScale,recTags,sortPriority,updateDate,userType
吉林,长春,本科,https://job.ncss.cn/student/jobs/X5QZBoSjCGpy3Qpa7ecoN1/detail.html,0,50.0,X5QZBoSjCGpy3Qpa7ecoN1,一汽解放2020年春季线上校园招聘正式启动,0,吉林省长春市吉林省长春市,1.0,2020-02-15 18:50,-,一汽解放汽车有限公司,国有企业,5000以上,,36,2020-02-15 18:50,11
山东,济南,本科,https://job.ncss.cn/student/jobs/SeMBe76ZAMDt9ecWWG1m3t/detail.html,285,50.0,SeMBe76ZAMDt9ecWWG1m3t,山大地纬2020届春季线上校园招聘,0,山东省济南市港兴一路300号,1.0,2020-02-15 18:28,-,山大地纬软件股份有限公司,民营企业,100-499人,,39,2020-02-15 18:28,11
山东,济南,本科,https://job.ncss.cn/student/jobs/PpaqLKLGVwjGXiah9YS4r4/detail.html,0,50.0,PpaqLKLGVwjGXiah9YS4r4,浪潮春季招聘公告,0,山东省济南市山东省济南市,1.0,2020-02-15 18:07,-,浪潮集团,民营企业,100-499人,,41,2020-02-15 18:07,11
北京,北京,本科,https://job.ncss.cn/student/jobs/Gtffk5k88Ei18m6KR2jtjb/detail.html,0,50.0,Gtffk5k88Ei18m6KR2jtjb,京东数科实习生招聘,0,北京市大兴区亦庄经济开发区,1.0,2020-02-15 18:39,-,京东数科,民营企业,100-499人,,37,2020-02-15 18:39,11
山东,青岛,本科,https://job.ncss.cn/student/jobs/WVNeWgqiwzhsCD2SN4QEbt/detail.html,0,50.0,WVNeWgqiwzhsCD2SN4QEbt,海尔2020春季未来合伙人正式启动,0,山东省青岛市青岛市高科技工业园海尔路,1.0,2020-02-12 11:28,-,海尔集团,股份制企业,5000以上,,27,2020-02-12 11:28,11
安徽,合肥,本科,https://job.ncss.cn/student/jobs/VPLMNJWWAVVWmt3UVKSm8S/detail.html,0,50.0,VPLMNJWWAVVWmt3UVKSm8S,科大讯飞2020届校园招聘春季补录开启,0,安徽省合肥市合肥市高新开发区望江西路666号,1.0,2020-02-12 11:15,-,科大讯飞股份有限公司,上市公司,1000-4999人,,28,2020-02-12 11:15,11
北京,北京,博士,https://job.ncss.cn/student/jobs/TCukoYPyzFwQ5g3cww8BgK/detail.html,0,50.0,TCukoYPyzFwQ5g3cww8BgK,京东2020技术博士管培生招募中,0,北京市大兴区北京市北京经济技术开发区,1.0,2020-02-12 17:20,-,京东,股份制企业,5000以上,,31,2020-02-12 17:20,11
广东,广州,本科,https://job.ncss.cn/student/jobs/Csj2phtz5V68vygx1Uzjyj/detail.html,0,50.0,Csj2phtz5V68vygx1Uzjyj,数字广东2020届春招全面启动,0,广东省广州市越秀区东风中路362颐德大厦9-12层,1.0,2020-02-19 12:07,-,数字广东,民营企业,1000-4999人,,43,2020-02-19 12:07,11
北京市海淀区上地东路1号院3号楼北侧301室,北京,本科,https://job.ncss.cn/student/jobs/LsWiZqx4VgrP8ofduJ3oEt/detail.html,0,50.0,LsWiZqx4VgrP8ofduJ3oEt,天融信2020年春季校园招聘,0,北京市海淀区上地东路1号院3号楼北侧301室,1.0,2020-02-24 14:26,-,天融信科技集团,上市公司,1000-4999人,,51,2020-02-24 14:26,11
湖北,武汉,本科,https://job.ncss.cn/student/jobs/CyTZWxEPcK8VXeyeXCcKqq/detail.html,0,50.0,CyTZWxEPcK8VXeyeXCcKqq,长江存储2020春季校园招聘,0,湖北省武汉市武汉市东湖开发区关东科技工业园华光大道18号7018室,1.0,2020-03-05 16:02,-,长江存储科技有限责任公司,民营企业,1000-4999人,,56,2020-03-05 16:02,11
